filedFor,nameOfIssuer,ticker,no_shares,value
2017-12-31,TEVA PHARMACEUTICAL INDS LTD,TEVA,18875721,357695000
2017-12-31,TORCHMARK CORP,GL,6353727,576346000
2017-12-31,U S G CORP,USG,39002016,1503918000
2017-12-31,UNITED CONTL HLDGS INC,UAL,28211563,1901459000
2017-12-31,UNITED PARCEL SERVICE INC,UPS,59400,7078000
2017-12-31,US BANCORP DEL,USB,87058877,4664615000
2017-12-31,VERISIGN INC,VRSN,12952745,1482312000
2017-12-31,VERISK ANALYTICS INC,VRSK,1563434,150090000
2017-12-31,VERIZON COMMUNICATIONS INC,VZ,928,49000
2017-12-31,VISA INC,V,10562460,1204332000
2017-12-31,WAL MART STORES INC,WMT,1393513,137610000
2017-12-31,WELLS FARGO & CO NEW,WFC,458232268,27800952000
2018-03-31,AMERICAN AIRLS GROUP INC,AAL,46000000,2390159000
2018-03-31,AMERICAN EXPRESS CO,AXP,151610700,14142245000
2018-03-31,APPLE INC,AAPL,239567633,40194658000
2018-03-31,AXALTA COATING SYS LTD,AXTA,23324000,704152000
2018-03-31,BANK AMER CORP,BAC,679000000,20363209000
2018-03-31,BANK OF NEW YORK MELLON CORP,BK,62191448,3204724000
2018-03-31,CHARTER COMMUNICATIONS INC N,CHTR,8222873,2559122000
2018-03-31,COCA COLA CO,KO,400000000,17371999000
2018-03-31,COSTCO WHSL CORP NEW,COST,4333363,816536000
2018-03-31,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,2543014000
2018-03-31,DELTA AIR LINES INC DEL,DAL,53599357,2937781000
2018-03-31,GENERAL MTRS CO,GM,50000000,1816999000
2018-03-31,GOLDMAN SACHS GROUP INC,GS,10959519,2760264000
2018-03-31,JOHNSON & JOHNSON,JNJ,327100,41918000
2018-03-31,KRAFT HEINZ CO,KHC,325634818,20283793000
2018-03-31,LIBERTY GLOBAL PLC,LBTYA,18206408,570042000
2018-03-31,LIBERTY GLOBAL PLC,LBTYK,7346968,223568000
2018-03-31,LIBERTY LATIN AMERICA LTD,LILA,2714854,52804000
2018-03-31,LIBERTY LATIN AMERICA LTD,LILAK,1284020,24512000
2018-03-31,LIBERTY MEDIA CORP DELAWARE,LSXMA,14860360,610761000
2018-03-31,LIBERTY MEDIA CORP DELAWARE,LSXMK,31090985,1270067000
2018-03-31,M & T BK CORP,MTB,5382040,992234000
2018-03-31,MASTERCARD INC,MA,4934756,864372000
2018-03-31,MONDELEZ INTL INC,MDLZ,578000,24120000
2018-03-31,MOODYS CORP,MCO,24669778,3979236000
2018-03-31,MOSANTO CO NEW,MON2,18970134,2213625000
2018-03-31,PHILLIPS 66,PSX,45689892,4382575000
2018-03-31,PROCTER & GAMBLE CO,PG,315400,25005000
2018-03-31,RESTAURANT BRANDS INTL INC,QSR,8438225,480304000
2018-03-31,SIRIUS XM HLDGS INC,SIRI,137915729,860594000
2018-03-31,SOUTHWEST AIRLS CO,LUV,47659456,2729934000
2018-03-31,STORE CAP CORP,STOR,18621674,462190000
2018-03-31,SYNCHRONY FINL,SYF,20803000,697524000
2018-03-31,TEVA PHARMACEUTICAL INDS LTD,TEVA,40539710,692824000
2018-03-31,TORCHMARK CORP,GL,6353727,534794000
2018-03-31,U S G CORP,USG,39002016,1576461000
2018-03-31,UNITED CONTL HLDGS INC,UAL,27705963,1924733000
2018-03-31,UNITED PARCEL SERVICE INC,UPS,59400,6217000
2018-03-31,US BANCORP DEL,USB,90847721,4587811000
2018-03-31,VERISIGN INC,VRSN,12952745,1535678000
2018-03-31,VERISK ANALYTICS INC,VRSK,284778,29617000
2018-03-31,VERIZON COMMUNICATIONS INC,VZ,928,44000
2018-03-31,VISA INC,V,10562460,1263481000
2018-03-31,WAL MART STORES INC,WMT,1393513,123981000
2018-03-31,WELLS FARGO & CO NEW,WFC,456513244,23925858000
2018-06-30,AMERICAN AIRLS GROUP INC,AAL,44700000,1696812000
2018-06-30,AMERICAN EXPRESS CO,AXP,151610700,14857849000
2018-06-30,APPLE INC,AAPL,251955877,46639553000
2018-06-30,AXALTA COATING SYS LTD,AXTA,24264000,735441000
2018-06-30,BANK AMER CORP,BAC,679000000,19141009000
2018-06-30,BANK OF NEW YORK MELLON CORP,BK,64800376,3494685000
2018-06-30,CHARTER COMMUNICATIONS INC N,CHTR,7504185,2200303000
2018-06-30,COCA COLA CO,KO,400000000,17544001000
2018-06-30,COSTCO WHSL CORP NEW,COST,4333363,905586000
2018-06-30,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,2677993000
2018-06-30,DELTA AIR LINES INC DEL,DAL,63665840,3154005000
2018-06-30,GENERAL MTRS CO,GM,51393611,2024908000
2018-06-30,GOLDMAN SACHS GROUP INC,GS,13254490,2923543000
2018-06-30,JOHNSON & JOHNSON,JNJ,327100,39690000
2018-06-30,KRAFT HEINZ CO,KHC,325634818,20456379000
2018-06-30,LIBERTY GLOBAL PLC,LBTYA,19791000,545044000
2018-06-30,LIBERTY GLOBAL PLC,LBTYK,7346968,195503000
2018-06-30,LIBERTY LATIN AMERICA LTD,LILA,2714854,51908000
2018-06-30,LIBERTY LATIN AMERICA LTD,LILAK,1284020,24884000
2018-06-30,LIBERTY MEDIA CORP DELAWARE,LSXMA,14860360,669460000
2018-06-30,LIBERTY MEDIA CORP DELAWARE,LSXMK,31090985,1410288000
2018-06-30,M & T BK CORP,MTB,5382040,915754000
2018-06-30,MASTERCARD INC,MA,4934756,969778000
2018-06-30,MONDELEZ INTL INC,MDLZ,578000,23698000
2018-06-30,MOODYS CORP,MCO,24669778,4207677000
2018-06-30,PHILLIPS 66,PSX,34729514,3900471000
2018-06-30,PROCTER & GAMBLE CO,PG,315400,24620000
2018-06-30,RESTAURANT BRANDS INTL INC,QSR,8438225,508825000
2018-06-30,SIRIUS XM HLDGS INC,SIRI,137915729,933690000
2018-06-30,SOUTHWEST AIRLS CO,LUV,56547399,2877132000
2018-06-30,STORE CAP CORP,STOR,18621674,510234000
2018-06-30,SYNCHRONY FINL,SYF,20803000,694404000
2018-06-30,TEVA PHARMACEUTICAL INDS LTD,TEVA,43249295,1051823000
2018-06-30,TORCHMARK CORP,GL,6353727,517257000
2018-06-30,U S G CORP,USG,39002016,1681767000
2018-06-30,UNITED CONTL HLDGS INC,UAL,26684542,1860714000
2018-06-30,UNITED PARCEL SERVICE INC,UPS,59400,6310000
2018-06-30,US BANCORP DEL,USB,100693874,5036709000
2018-06-30,VERISIGN INC,VRSN,12952745,1779966000
2018-06-30,VERIZON COMMUNICATIONS INC,VZ,928,47000
2018-06-30,VISA INC,V,10562460,1398998000
2018-06-30,WAL MART STORES INC,WMT,1393513,119354000
2018-06-30,WELLS FARGO & CO NEW,WFC,452013758,25059643000
2018-09-30,AMERICAN AIRLS GROUP INC,AAL,43700000,1806121000
2018-09-30,AMERICAN EXPRESS CO,AXP,151610700,16145025000
2018-09-30,APPLE INC,AAPL,252478779,56994561000
2018-09-30,AXALTA COATING SYS LTD,AXTA,24264000,707538000
2018-09-30,BANK AMER CORP,BAC,877248600,25843745000
2018-09-30,BANK OF NEW YORK MELLON CORP,BK,77849476,3969546000
2018-09-30,CHARTER COMMUNICATIONS INC N,CHTR,7340985,2392280000
2018-09-30,COCA COLA CO,KO,400000000,18476000000
2018-09-30,COSTCO WHSL CORP NEW,COST,4333363,1017820000
2018-09-30,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,2762452000
2018-09-30,DELTA AIR LINES INC DEL,DAL,65535000,3789889000
2018-09-30,GENERAL MTRS CO,GM,52461411,1766376000
2018-09-30,GOLDMAN SACHS GROUP INC,GS,18353635,4115619000
2018-09-30,JOHNSON & JOHNSON,JNJ,327100,45195000
2018-09-30,JPMORGAN CHASE & CO,JPM,35664767,4024412000
2018-09-30,KRAFT HEINZ CO,KHC,325634818,17945735000
2018-09-30,LIBERTY GLOBAL PLC,LBTYA,19791000,572553000
2018-09-30,LIBERTY GLOBAL PLC,LBTYK,7346968,206891000
2018-09-30,LIBERTY LATIN AMERICA LTD,LILA,2714854,56578000
2018-09-30,LIBERTY LATIN AMERICA LTD,LILAK,1284020,26489000
2018-09-30,LIBERTY MEDIA CORP DELAWARE,LSXMA,14860360,645535000
2018-09-30,LIBERTY MEDIA CORP DELAWARE,LSXMK,31090985,1350903000
2018-09-30,M & T BK CORP,MTB,5382040,885561000
2018-09-30,MASTERCARD INC,MA,4934756,1098526000
2018-09-30,MONDELEZ INTL INC,MDLZ,578000,24831000
2018-09-30,MOODYS CORP,MCO,24669778,4124787000
2018-09-30,ORACLE CORP,ORCL,41404791,2134832000
2018-09-30,PHILLIPS 66,PSX,15433024,1739611000
2018-09-30,PNC FINL SVCS GROUP INC,PNC,6087319,829032000
2018-09-30,PROCTER & GAMBLE CO,PG,315400,26251000
2018-09-30,RESTAURANT BRANDS INTL INC,QSR,8438225,500218000
2018-09-30,SIRIUS XM HLDGS INC,SIRI,137915729,871627000
2018-09-30,SOUTHWEST AIRLS CO,LUV,56047399,3500160000
2018-09-30,STORE CAP CORP,STOR,18621674,517496000
2018-09-30,SYNCHRONY FINL,SYF,20803000,646557000
2018-09-30,TEVA PHARMACEUTICAL INDS LTD,TEVA,43249295,931589000
2018-09-30,TORCHMARK CORP,GL,6353727,550804000
2018-09-30,TRAVELERS COMPANIES INC,TRV,3543688,459652000
2018-09-30,U S G CORP,USG,39002016,1689178000
2018-09-30,UNITED CONTL HLDGS INC,UAL,25984542,2314183000
2018-09-30,UNITED PARCEL SERVICE INC,UPS,59400,6935000
2018-09-30,US BANCORP DEL,USB,124923092,6597189000
2018-09-30,VERISIGN INC,VRSN,12952745,2073994000
2018-09-30,VERIZON COMMUNICATIONS INC,VZ,928,50000
2018-09-30,VISA INC,V,10562460,1585320000
2018-09-30,WELLS FARGO & CO NEW,WFC,442361700,23250531000
2018-12-31,AMERICAN AIRLS GROUP INC,AAL,43700000,1403208000
2018-12-31,AMERICAN EXPRESS CO,AXP,151610700,14451533000
2018-12-31,APPLE INC,AAPL,249589329,39370221000
2018-12-31,AXALTA COATING SYS LTD,AXTA,24264000,568263000
2018-12-31,BANK AMER CORP,BAC,896167600,22081569000
2018-12-31,BANK OF NEW YORK MELLON CORP,BK,80937250,3809716000
2018-12-31,CHARTER COMMUNICATIONS INC N,CHTR,7033499,2004336000
2018-12-31,COCA COLA CO,KO,400000000,18939999000
2018-12-31,COSTCO WHSL CORP NEW,COST,4333363,882749000
2018-12-31,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,1984584000
2018-12-31,DELTA AIR LINES INC DEL,DAL,65535000,3270197000
2018-12-31,GENERAL MTRS CO,GM,72269696,2417421000
2018-12-31,GOLDMAN SACHS GROUP INC,GS,18353635,3065974000
2018-12-31,JOHNSON & JOHNSON,JNJ,327100,42212000
2018-12-31,JPMORGAN CHASE & CO,JPM,50116394,4892364000
2018-12-31,KRAFT HEINZ CO,KHC,325634818,14015323000
2018-12-31,LIBERTY GLOBAL PLC,LBTYA,19791000,422340000
2018-12-31,LIBERTY GLOBAL PLC,LBTYK,7346968,151641000
2018-12-31,LIBERTY LATIN AMERICA LTD,LILA,2714854,39311000
2018-12-31,LIBERTY LATIN AMERICA LTD,LILAK,1284020,18708000
2018-12-31,LIBERTY MEDIA CORP DELAWARE,LSXMA,14860360,546862000
2018-12-31,LIBERTY MEDIA CORP DELAWARE,LSXMK,31090985,1149744000
2018-12-31,M & T BK CORP,MTB,5382040,770331000
2018-12-31,MASTERCARD INC,MA,4934756,930942000
2018-12-31,MONDELEZ INTL INC,MDLZ,578000,23137000
2018-12-31,MOODYS CORP,MCO,24669778,3454756000
2018-12-31,PHILLIPS 66,PSX,11895842,1024826000
2018-12-31,PNC FINL SVCS GROUP INC,PNC,8263062,966034000
2018-12-31,PROCTER & GAMBLE CO,PG,315400,28992000
2018-12-31,RED HAT INC,RHT,4175792,733436000
2018-12-31,RESTAURANT BRANDS INTL INC,QSR,8438225,441319000
2018-12-31,SIRIUS XM HLDGS INC,SIRI,137915729,787499000
2018-12-31,SOUTHWEST AIRLS CO,LUV,54847399,2549307000
2018-12-31,STORE CAP CORP,STOR,18621674,527180000
2018-12-31,SYNCHRONY FINL,SYF,20803000,488038000
2018-12-31,TEVA PHARMACEUTICAL INDS LTD,TEVA,43249295,666905000
2018-12-31,TORCHMARK CORP,GL,6353727,473544000
2018-12-31,TRAVELERS COMPANIES INC,TRV,5958391,713517000
2018-12-31,U S G CORP,USG,39002016,1663826000
2018-12-31,UNITED CONTL HLDGS INC,UAL,21938642,1836922000
2018-12-31,UNITED PARCEL SERVICE INC,UPS,59400,5793000
2018-12-31,US BANCORP DEL,USB,129308831,5909415000
2018-12-31,VERISIGN INC,VRSN,12952745,1920763000
2018-12-31,VERIZON COMMUNICATIONS INC,VZ,928,52000
2018-12-31,VISA INC,V,10562460,1393611000
2018-12-31,WELLS FARGO & CO NEW,WFC,426768902,19665511000
2019-03-31,AMAZON COM INC,AMZN,483300,860637000
2019-03-31,AMERICAN AIRLS GROUP INC,AAL,43700000,1387912000
2019-03-31,AMERICAN EXPRESS CO,AXP,151610700,16571049000
2019-03-31,APPLE INC,AAPL,249589329,47409494000
2019-03-31,AXALTA COATING SYS LTD,AXTA,24264000,611696000
2019-03-31,BANK AMER CORP,BAC,896167600,24725263000
2019-03-31,BANK OF NEW YORK MELLON CORP,BK,80937250,4081666000
2019-03-31,CHARTER COMMUNICATIONS INC N,CHTR,5710711,1981103000
2019-03-31,COCA COLA CO,KO,400000000,18744001000
2019-03-31,COSTCO WHSL CORP NEW,COST,4333363,1049281000
2019-03-31,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,2093725000
2019-03-31,DELTA AIR LINES INC DEL,DAL,70910456,3662525000
2019-03-31,GENERAL MTRS CO,GM,72269696,2681205000
2019-03-31,GOLDMAN SACHS GROUP INC,GS,18353635,3523714000
2019-03-31,JOHNSON & JOHNSON,JNJ,327100,45725000
2019-03-31,JPMORGAN CHASE & CO,JPM,59514932,6024697000
2019-03-31,KRAFT HEINZ CO,KHC,325634818,10631977000
2019-03-31,LIBERTY GLOBAL PLC,LBTYA,19791000,493192000
2019-03-31,LIBERTY GLOBAL PLC,LBTYK,7346968,177870000
2019-03-31,LIBERTY LATIN AMERICA LTD,LILA,2714854,52505000
2019-03-31,LIBERTY LATIN AMERICA LTD,LILAK,1284020,24974000
2019-03-31,LIBERTY MEDIA CORP DELAWARE,LSXMA,14860360,567369000
2019-03-31,LIBERTY MEDIA CORP DELAWARE,LSXMK,31090985,1188920000
2019-03-31,M & T BK CORP,MTB,5382040,845088000
2019-03-31,MASTERCARD INC,MA,4934756,1161888000
2019-03-31,MONDELEZ INTL INC,MDLZ,578000,28854000
2019-03-31,MOODYS CORP,MCO,24669778,4467450000
2019-03-31,PHILLIPS 66,PSX,5552715,528452000
2019-03-31,PNC FINL SVCS GROUP INC,PNC,8671054,1063591000
2019-03-31,PROCTER & GAMBLE CO,PG,315400,32817000
2019-03-31,RED HAT INC,RHT,5110471,933683000
2019-03-31,RESTAURANT BRANDS INTL INC,QSR,8438225,549413000
2019-03-31,SIRIUS XM HLDGS INC,SIRI,137915729,781982000
2019-03-31,SOUTHWEST AIRLS CO,LUV,53649213,2784931000
2019-03-31,STORE CAP CORP,STOR,18621674,623826000
2019-03-31,SYNCHRONY FINL,SYF,20803000,663616000
2019-03-31,TEVA PHARMACEUTICAL INDS LTD,TEVA,43249295,678149000
2019-03-31,TORCHMARK CORP,GL,6353727,520688000
2019-03-31,TRAVELERS COMPANIES INC,TRV,5958391,817253000
2019-03-31,U S G CORP,USG,39002016,1688787000
2019-03-31,UNITED CONTL HLDGS INC,UAL,21938642,1750265000
2019-03-31,UNITED PARCEL SERVICE INC,UPS,59400,6637000
2019-03-31,US BANCORP DEL,USB,129308831,6231393000
2019-03-31,VERISIGN INC,VRSN,12952745,2351700000
2019-03-31,VISA INC,V,10562460,1649750000
2019-03-31,WELLS FARGO & CO NEW,WFC,409803773,19801718000
2019-06-30,AMAZON COM INC,AMZN,537300,1017447000
2019-06-30,AMERICAN AIRLS GROUP INC,AAL,43700000,1425057000
2019-06-30,AMERICAN EXPRESS CO,AXP,151610700,18714825000
2019-06-30,APPLE INC,AAPL,249589329,49398720000
2019-06-30,AXALTA COATING SYS LTD,AXTA,24264000,722339000
2019-06-30,BANK AMER CORP,BAC,927248600,26890210000
2019-06-30,BANK OF NEW YORK MELLON CORP,BK,80937250,3573379000
2019-06-30,CHARTER COMMUNICATIONS INC N,CHTR,5426609,2144487000
2019-06-30,COCA COLA CO,KO,400000000,20368000000
2019-06-30,COSTCO WHSL CORP NEW,COST,4333363,1145135000
2019-06-30,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,2169698000
2019-06-30,DELTA AIR LINES INC DEL,DAL,70910456,4024169000
2019-06-30,GENERAL MTRS CO,GM,72269696,2784551000
2019-06-30,GOLDMAN SACHS GROUP INC,GS,18353635,3755154000
2019-06-30,JOHNSON & JOHNSON,JNJ,327100,45558000
2019-06-30,JPMORGAN CHASE & CO,JPM,59514932,6653769000
2019-06-30,KRAFT HEINZ CO,KHC,325634818,10107705000
2019-06-30,LIBERTY GLOBAL PLC,LBTYA,19791000,534159000
2019-06-30,LIBERTY GLOBAL PLC,LBTYK,7346968,194915000
2019-06-30,LIBERTY LATIN AMERICA LTD,LILA,2714854,46777000
2019-06-30,LIBERTY LATIN AMERICA LTD,LILAK,1284020,22072000
2019-06-30,LIBERTY MEDIA CORP DELAWARE,LSXMA,14860360,561871000
2019-06-30,LIBERTY MEDIA CORP DELAWARE,LSXMK,31090985,1180836000
2019-06-30,M & T BK CORP,MTB,5382040,915324000
2019-06-30,MASTERCARD INC,MA,4934756,1305391000
2019-06-30,MONDELEZ INTL INC,MDLZ,578000,31154000
2019-06-30,MOODYS CORP,MCO,24669778,4818254000
2019-06-30,PHILLIPS 66,PSX,5552715,519401000
2019-06-30,PNC FINL SVCS GROUP INC,PNC,8671054,1190362000
2019-06-30,PROCTER & GAMBLE CO,PG,315400,34584000
2019-06-30,RED HAT INC,RHT,5171890,971074000
2019-06-30,RESTAURANT BRANDS INTL INC,QSR,8438225,586794000
2019-06-30,SIRIUS XM HLDGS INC,SIRI,137915729,769570000
2019-06-30,SOUTHWEST AIRLS CO,LUV,53649213,2724307000
2019-06-30,STORE CAP CORP,STOR,18621674,618053000
2019-06-30,SYNCHRONY FINL,SYF,20803000,721240000
2019-06-30,TEVA PHARMACEUTICAL INDS LTD,TEVA,43249295,399191000
2019-06-30,TORCHMARK CORP,GL,6353727,568405000
2019-06-30,TRAVELERS COMPANIES INC,TRV,5958391,890899000
2019-06-30,UNITED CONTL HLDGS INC,UAL,21938642,1920728000
2019-06-30,UNITED PARCEL SERVICE INC,UPS,59400,6134000
2019-06-30,US BANCORP DEL,USB,132459618,6940884000
2019-06-30,VERISIGN INC,VRSN,12952745,2709196000
2019-06-30,VISA INC,V,10562460,1833115000
2019-06-30,WELLS FARGO & CO NEW,WFC,409803773,19391913000
2019-09-30,AMAZON COM INC,AMZN,537300,932705000
2019-09-30,AMERICAN AIRLS GROUP INC,AAL,43700000,1178589000
2019-09-30,AMERICAN EXPRESS CO,AXP,151610700,17932512000
2019-09-30,APPLE INC,AAPL,248838679,55732400000
2019-09-30,AXALTA COATING SYS LTD,AXTA,24264000,731560000
2019-09-30,BANK AMER CORP,BAC,927248600,27047843000
2019-09-30,BANK OF NEW YORK MELLON CORP,BK,80937250,3659172000
2019-09-30,CHARTER COMMUNICATIONS INC N,CHTR,5426609,2236414000
2019-09-30,COCA COLA CO,KO,400000000,21776000000
2019-09-30,COSTCO WHSL CORP NEW,COST,4333363,1248485000
2019-09-30,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,2200937000
2019-09-30,DELTA AIR LINES INC DEL,DAL,70910456,4084442000
2019-09-30,GENERAL MTRS CO,GM,72269696,2708669000
2019-09-30,GLOBE LIFE INC,GL,6353727,608433000
2019-09-30,GOLDMAN SACHS GROUP INC,GS,18353635,3803424000
2019-09-30,JOHNSON & JOHNSON,JNJ,327100,42320000
2019-09-30,JPMORGAN CHASE & CO,JPM,59514932,7004312000
2019-09-30,KRAFT HEINZ CO,KHC,325634818,9096609000
2019-09-30,LIBERTY GLOBAL PLC,LBTYA,19791000,489827000
2019-09-30,LIBERTY GLOBAL PLC,LBTYK,7346968,174784000
2019-09-30,LIBERTY LATIN AMERICA LTD,LILA,2714854,46343000
2019-09-30,LIBERTY LATIN AMERICA LTD,LILAK,1284020,21950000
2019-09-30,LIBERTY MEDIA CORP DELAWARE,LSXMA,14860360,617744000
2019-09-30,LIBERTY MEDIA CORP DELAWARE,LSXMK,31090985,1304578000
2019-09-30,M & T BK CORP,MTB,5382040,850202000
2019-09-30,MASTERCARD INC,MA,4934756,1340132000
2019-09-30,MONDELEZ INTL INC,MDLZ,578000,31975000
2019-09-30,MOODYS CORP,MCO,24669778,5053111000
2019-09-30,OCCIDENTAL PETE CORP,OXY,7467508,332079000
2019-09-30,PHILLIPS 66,PSX,5182637,530702000
2019-09-30,PNC FINL SVCS GROUP INC,PNC,8671054,1215335000
2019-09-30,PROCTER & GAMBLE CO,PG,315400,39229000
2019-09-30,RESTAURANT BRANDS INTL INC,QSR,8438225,600295000
2019-09-30,RH,RH,1207844,206336000
2019-09-30,SIRIUS XM HLDGS INC,SIRI,136275729,852404000
2019-09-30,SOUTHWEST AIRLS CO,LUV,53649213,2897595000
2019-09-30,STORE CAP CORP,STOR,18621674,696637000
2019-09-30,SYNCHRONY FINL,SYF,20803000,709175000
2019-09-30,TEVA PHARMACEUTICAL INDS LTD,TEVA,43249295,297555000
2019-09-30,TRAVELERS COMPANIES INC,TRV,5958391,885953000
2019-09-30,UNITED CONTL HLDGS INC,UAL,21938642,1939595000
2019-09-30,UNITED PARCEL SERVICE INC,UPS,59400,7117000
2019-09-30,US BANCORP DEL,USB,132459618,7330315000
2019-09-30,VERISIGN INC,VRSN,12952745,2443276000
2019-09-30,VISA INC,V,10562460,1816849000
2019-09-30,WELLS FARGO & CO NEW,WFC,378369018,19084935000
2019-12-31,AMAZON COM INC,AMZN,537300,992844000
2019-12-31,AMERICAN AIRLS GROUP INC,AAL,42500000,1218900000
2019-12-31,AMERICAN EXPRESS CO,AXP,151610700,18874016000
2019-12-31,APPLE INC,AAPL,245155566,71989933000
2019-12-31,AXALTA COATING SYS LTD,AXTA,24264000,737626000
2019-12-31,BANK AMER CORP,BAC,925008600,32578803000
2019-12-31,BANK OF NEW YORK MELLON CORP,BK,79765057,4014575000
2019-12-31,BIOGEN INC,BIIB,648447,192414000
2019-12-31,CHARTER COMMUNICATIONS INC N,CHTR,5426609,2632339000
2019-12-31,COCA COLA CO,KO,400000000,22140000000
2019-12-31,COSTCO WHSL CORP NEW,COST,4333363,1273662000
2019-12-31,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,2893575000
2019-12-31,DELTA AIR LINES INC DEL,DAL,70910456,4146844000
2019-12-31,GENERAL MTRS CO,GM,75000000,2745000000
2019-12-31,GLOBE LIFE INC,GL,6353727,668730000
2019-12-31,GOLDMAN SACHS GROUP INC,GS,12004751,2760252000
2019-12-31,JOHNSON & JOHNSON,JNJ,327100,47714000
2019-12-31,JPMORGAN CHASE & CO,JPM,59514932,8296382000
2019-12-31,KRAFT HEINZ CO,KHC,325634818,10462647000
2019-12-31,KROGER CO,KR,18940079,549073000
2019-12-31,LIBERTY GLOBAL PLC,LBTYA,19791000,450047000
2019-12-31,LIBERTY GLOBAL PLC,LBTYK,7346968,160127000
2019-12-31,LIBERTY LATIN AMERICA LTD,LILA,2714854,52397000
2019-12-31,LIBERTY LATIN AMERICA LTD,LILAK,1284020,24987000
2019-12-31,LIBERTY MEDIA CORP DELAWARE,LSXMA,14860360,718350000
2019-12-31,LIBERTY MEDIA CORP DELAWARE,LSXMK,31090985,1496721000
2019-12-31,M & T BK CORP,MTB,5382040,913602000
2019-12-31,MASTERCARD INC,MA,4934756,1473469000
2019-12-31,MONDELEZ INTL INC,MDLZ,578000,31836000
2019-12-31,MOODYS CORP,MCO,24669778,5856852000
2019-12-31,OCCIDENTAL PETE CORP,OXY,18933054,780231000
2019-12-31,PHILLIPS 66,PSX,227436,25339000
2019-12-31,PNC FINL SVCS GROUP INC,PNC,8671054,1384160000
2019-12-31,PROCTER & GAMBLE CO,PG,315400,39393000
2019-12-31,RESTAURANT BRANDS INTL INC,QSR,8438225,538106000
2019-12-31,RH,RH,1708348,364732000
2019-12-31,SIRIUS XM HLDGS INC,SIRI,136275729,974372000
2019-12-31,SOUTHWEST AIRLS CO,LUV,53649213,2895985000
2019-12-31,SPDR S&P 500 ETF TR,SPY,39400,12681000
2019-12-31,STORE CAP CORP,STOR,18621674,693471000
2019-12-31,SYNCHRONY FINL,SYF,20803000,749116000
2019-12-31,TEVA PHARMACEUTICAL INDS LTD,TEVA,43249295,423843000
2019-12-31,TRAVELERS COMPANIES INC,TRV,312379,42780000
2019-12-31,UNITED CONTL HLDGS INC,UAL,21938642,1932575000
2019-12-31,UNITED PARCEL SERVICE INC,UPS,59400,6953000
2019-12-31,US BANCORP DEL,USB,132459618,7853532000
2019-12-31,VANGUARD INDEX FDS,VOO,43000,12719000
2019-12-31,VERISIGN INC,VRSN,12952745,2495735000
2019-12-31,VISA INC,V,10562460,1984686000
2019-12-31,WELLS FARGO & CO NEW,WFC,323212918,17388855000
2020-03-31,AMAZON COM INC,AMZN,533300,1039786000
2020-03-31,AMERICAN AIRLS GROUP INC,AAL,41909000,510871000
2020-03-31,AMERICAN EXPRESS CO,AXP,151610700,12979391000
2020-03-31,APPLE INC,AAPL,245155566,62340609000
2020-03-31,AXALTA COATING SYS LTD,AXTA,24070000,415689000
2020-03-31,BANK AMER CORP,BAC,925008600,19637932000
2020-03-31,BANK OF NEW YORK MELLON CORP,BK,79765057,2686487000
2020-03-31,BIOGEN INC,BIIB,643022,203440000
2020-03-31,CHARTER COMMUNICATIONS INC N,CHTR,5426609,2367684000
2020-03-31,COCA COLA CO,KO,400000000,17700001000
2020-03-31,COSTCO WHSL CORP NEW,COST,4333363,1235572000
2020-03-31,DAVITA HEALTHCARE PARTNERS I,DVA,38095570,2897549000
2020-03-31,DELTA AIR LINES INC DEL,DAL,71886963,2050935000
2020-03-31,GENERAL MTRS CO,GM,74681000,1551872000
2020-03-31,GLOBE LIFE INC,GL,6353727,457278000
2020-03-31,GOLDMAN SACHS GROUP INC,GS,1920180,296841000
2020-03-31,JOHNSON & JOHNSON,JNJ,327100,42893000
2020-03-31,JPMORGAN CHASE & CO,JPM,57714433,5196030000
2020-03-31,KRAFT HEINZ CO,KHC,325634818,8056205000
2020-03-31,KROGER CO,KR,18940079,570475000
2020-03-31,LIBERTY GLOBAL PLC,LBTYA,19310000,318808000
2020-03-31,LIBERTY GLOBAL PLC,LBTYK,7346968,115421000
2020-03-31,LIBERTY LATIN AMERICA LTD,LILA,2630792,27676000
2020-03-31,LIBERTY LATIN AMERICA LTD,LILAK,1284020,13174000
2020-03-31,LIBERTY MEDIA CORP DELAWARE,LSXMA,14860360,470925000
2020-03-31,LIBERTY MEDIA CORP DELAWARE,LSXMK,30850985,975508000
2020-03-31,M & T BK CORP,MTB,5382040,556665000
2020-03-31,MASTERCARD INC,MA,4934756,1192040000
2020-03-31,MONDELEZ INTL INC,MDLZ,578000,28946000
2020-03-31,MOODYS CORP,MCO,24669778,5217658000
2020-03-31,OCCIDENTAL PETE CORP,OXY,18933054,219245000
2020-03-31,PNC FINL SVCS GROUP INC,PNC,9197984,880431000
2020-03-31,PROCTER & GAMBLE CO,PG,315400,34694000
2020-03-31,RESTAURANT BRANDS INTL INC,QSR,8438225,337782000
2020-03-31,RH,RH,1708348,171638000
